import time: self [us] | cumulative | imported package
import time:       124 |        124 |                 importlib.metadata._itertools
import time:       578 |        578 |                       importlib.resources.abc
import time:      5878 |       6456 |                     importlib.resources._common
import time:       244 |        244 |                     importlib.resources._functional
import time:       703 |       7402 |                   importlib.resources
import time:       703 |       8104 |                 importlib.abc
import time:      3510 |      16827 |               importlib.metadata
import time:     23171 |      39997 |             pydantic.plugin._loader
import time:    174964 |    1216847 |           fastapi.exceptions
import time:     33243 |      33243 |             fastapi.openapi
import time:     16187 |      16187 |                 fastapi.types
import time:      1258 |       1258 |                   shlex
import time:     10040 |      10040 |                   starlette.concurrency
import time:     12032 |      12032 |                   starlette.types
import time:     17761 |      41089 |                 starlette.datastructures
import time:     42599 |      99874 |               fastapi._compat.shared
import time:     23982 |      23982 |                 fastapi.openapi.constants
import time:     38693 |      62675 |               fastapi._compat.v2
import time:     24478 |     187026 |             fastapi._compat
import time:     10997 |      10997 |             fastapi.logger
import time:       983 |        983 |             email_validator
import time:    141557 |     373803 |           fastapi.openapi.models
import time:     16437 |      16437 |           fastapi.datastructures
import time:     18278 |    1625363 |         fastapi.params
import time:     30899 |      30899 |           fastapi.dependencies
import time:     20829 |      20829 |                 fastapi.security.base
import time:      1577 |       1577 |                   http.cookies
import time:     11694 |      11694 |                   starlette._utils
import time:     12506 |      12506 |                           python_multipart.exceptions
import time:     20728 |      33233 |                         python_multipart.decoders
import time:     30942 |      64175 |                       python_multipart.multipart
import time:     16114 |      80289 |                     python_multipart
import time:     13439 |      93727 |                   starlette.formparsers
import time:     17572 |     124568 |                 starlette.requests
import time:     28637 |     174033 |               fastapi.security.api_key
import time:     17384 |      17384 |                 fastapi.security.utils
import time:     23241 |      40624 |               fastapi.security.http
import time:     18718 |      18718 |                 fastapi.param_functions
import time:     22726 |      41443 |               fastapi.security.oauth2
import time:     22483 |      22483 |               fastapi.security.open_id_connect_url
import time:     21877 |     300459 |             fastapi.security
import time:       336 |     300794 |           fastapi.security.base
import time:     32756 |     364448 |         fastapi.dependencies.models
